Student_ID,Age,Gender,Ethnicity,Socioeconomic_Status,Parental_Education_Level,Disability_Status,GPA,Past_Academic_Performance,Current_Semester_Performance,Courses_Failed,Credits_Completed,Study_Hours_per_Week,Attendance_Rate,Number_of_Late_Submissions,Class_Participation_Score,Online_Learning_Hours,Library_Usage_Hours,Disciplinary_Actions,Social_Engagement_Score,Mental_Health_Score,Extracurricular_Activities,Dropout_Risk
29,27,Female,Hispanic,High,High School,0,2.62,Average,80,0,93,10,90.88978404897094,7,9.061117514466575,8.621224885815788,0.2730795465479785,0,4.0069443159278215,8.487219813138644,3,0
30,23,Female,White,Low,Master’s,0,3.32,Below Average,74,3,59,32,78.39204802758607,8,1.8892506683912458,6.114459986064588,1.9285215878277462,2,1.387599653855135,4.792213789710461,1,0
31,29,Male,White,Medium,Bachelor’s,0,3.23,Below Average,97,2,57,9,52.09852517030335,6,2.5652042732580793,7.30754749069868,7.441456596106011,2,1.152592290260368,9.031892844944478,1,0
32,26,Female,Asian,High,Bachelor’s,0,3.97,Average,95,1,87,6,58.83784337117304,7,0.5333006820674624,7.938525612476277,6.914332711697741,1,2.999432568137914,2.0618848749195573,4,0
33,18,Female,Asian,Medium,High School,0,2.06,Above Average,82,0,39,25,93.24969865147673,7,9.65400116974059,16.43080764393232,10.62586282552253,0,9.953487964272195,7.378162469290859,3,0
34,28,Male,Other,High,High School,0,3.16,Average,62,3,38,22,78.1449913178395,1,8.520108494883763,1.6202978566252835,1.3456706407955106,0,3.2649694751639844,4.133790839922944,0,0
35,28,Female,Other,Medium,High School,0,3.02,Average,59,2,17,16,97.51717382569525,8,9.131846040910839,6.330140977500534,9.672829600456899,1,9.364563903551051,1.9120193571933726,3,0
36,27,Male,Black,Medium,Bachelor’s,0,3.79,Average,73,0,21,21,53.62111564303424,5,8.47216167760015,19.326369838141993,9.245548967018737,2,3.9226214576769403,4.479981011218035,1,0
37,29,Male,Other,Low,High School,0,1.89,Average,59,1,50,19,64.7630315042987,3,4.795305527212888,3.062050095975999,3.5042939771706654,2,4.390099911996094,8.921940620370112,1,0
38,29,Female,Black,Low,Bachelor’s,0,3.38,Below Average,90,4,111,11,59.67716866197863,4,9.240819340907635,14.852026430651799,8.135909464025993,0,7.970628832022295,9.82480484159776,2,0
39,20,Female,Hispanic,Medium,Master’s,0,2.92,Average,80,4,35,18,77.6920146114368,9,9.694728204271883,7.127870023965808,3.333108104939729,1,0.936383274474567,4.535198713904343,2,0
40,29,Male,Asian,Medium,Master’s,0,2.19,Below Average,62,2,59,5,69.13964155399546,4,5.025669767893976,11.635710523890507,2.203845406509095,2,1.823133235936395,8.977747490257375,4,0
41,24,Female,Hispanic,Medium,Bachelor’s,0,2.69,Above Average,52,0,11,7,57.863676703819664,6,1.7562478132883819,1.990960770177641,8.597024019811057,0,9.738402649752146,5.5868897461769045,3,0
42,21,Male,Other,Medium,High School,0,2.33,Below Average,99,3,64,35,82.13759569797735,8,6.586225089630943,6.128233347078931,14.662114174508554,2,5.059173399606946,7.453135338975473,2,0
43,26,Male,Hispanic,Medium,Master’s,0,2.95,Average,83,0,113,17,76.81491828985932,6,9.754382898535706,10.017298833217765,3.5540002375761754,2,0.44309682208630297,1.4083428004644087,2,0
44,20,Male,Hispanic,High,Master’s,0,3.72,Below Average,98,4,65,22,63.73681256481505,8,8.72146859858875,4.634013163517167,5.330042240327279,2,0.47380733056050506,6.01580774785621,3,0
45,22,Male,Hispanic,High,High School,0,2.92,Below Average,77,2,23,21,73.98856788911888,3,8.618151761459075,10.837398861063043,3.848598389850701,0,9.072406837773928,1.6314574258989138,1,0
46,20,Male,Other,Medium,Bachelor’s,0,3.08,Average,68,1,15,21,87.28691575205947,9,9.338180168072821,4.395186281254326,3.996897324697421,1,8.733650895587177,3.4175616138441938,4,0
47,24,Female,Hispanic,High,High School,0,2.8,Below Average,72,0,115,15,60.263583727532925,9,8.93952260552547,13.002011053011078,6.06288201280021,1,4.583991069451001,6.101328932818108,4,0
48,22,Female,Black,Medium,Master’s,0,1.63,Below Average,94,4,113,24,64.64528733508645,3,7.762816640182929,18.087086805006287,10.527832659759301,2,1.6322208594459875,8.264473897795124,4,0
49,26,Male,Other,Medium,PhD,0,2.08,Average,81,3,104,14,67.30554935470576,5,7.1827283216182725,1.7097727470314283,0.5820678604641771,1,8.302846063624797,6.0480427942351955,2,0
50,24,Female,Hispanic,High,High School,0,2.73,Below Average,62,2,90,33,87.33632186005158,7,2.6476717374475434,4.3323207155217265,14.356862935283402,2,3.246001072796505,9.42572387003689,1,0
51,19,Female,Other,Low,Master’s,0,2.28,Below Average,82,1,98,38,92.34612997754536,8,6.213400214284492,16.8884605452066,0.6941981923387125,0,4.190583986630953,8.29299256818252,4,0
52,21,Male,White,Low,Bachelor’s,0,1.95,Above Average,83,0,70,21,68.81942482208055,0,5.214886217058895,12.631069708839151,13.218797729168395,0,6.82476379049318,2.4061613149459236,3,0
53,26,Female,Black,High,PhD,0,2.76,Average,82,3,105,17,64.8310430916959,0,8.619440915809912,1.5741783428513045,13.415671481429984,0,3.533983534076545,4.500626370651436,4,0
54,29,Other,Hispanic,Medium,Bachelor’s,0,2.31,Above Average,54,1,21,31,94.47233791758386,7,4.91712573490072,9.727002302189906,7.867337813872849,2,6.2866992669829305,7.01636884576101,0,0
55,19,Male,White,High,Master’s,0,2.15,Above Average,52,4,22,30,99.96824660963394,6,1.277427635426891,4.1951703002267005,2.0549524292845116,1,8.852827104425844,9.445654284483611,1,0
56,27,Male,White,High,High School,1,2.66,Average,56,4,28,32,83.51768198308994,8,0.04972485322349174,3.9819278814013948,8.477189558354157,0,7.973732687744775,9.889442818702038,0,0
57,26,Female,Other,Low,High School,0,1.83,Below Average,73,3,53,17,99.49903074945904,2,6.778731204686652,18.812906867210476,9.429482398542746,2,3.816110738671604,7.868677941665265,1,0
58,27,Female,White,High,High School,0,3.82,Average,71,4,98,16,82.99831389009549,9,5.4990838712716155,15.23083096152218,12.86638436710667,1,2.879365547037348,6.163923750214275,3,0
59,22,Male,Black,Medium,PhD,0,3.67,Above Average,94,2,104,32,86.67301360039124,4,3.3096290435844833,13.924611870482874,8.263430636543546,1,2.85510448739559,7.8094872076419275,2,0
60,19,Female,Black,Medium,Master’s,0,3.27,Average,72,3,68,6,69.43280007717568,2,1.6897215003789035,4.778576341557173,6.160640938550073,1,3.4859115037658306,3.4591277751755296,2,0
61,21,Female,Asian,Medium,Master’s,0,1.77,Average,79,4,46,38,71.64837734995268,4,4.667153224039021,2.3714686608190094,12.574367907811709,2,4.935169867247723,3.5524272453366943,1,0
62,29,Female,Black,High,Master’s,0,3.44,Below Average,67,0,34,27,57.206783199469754,9,1.0028647247890565,17.416652425707003,14.714276960289284,2,4.165974806939431,6.889144115460909,4,0
63,29,Female,White,Low,High School,0,3.52,Above Average,81,4,25,33,91.13750073825616,0,3.361084892211431,0.1175913868490186,9.676548077368999,2,1.3300402098765784,8.846520187599193,0,0
64,24,Female,Black,Medium,High School,0,3.42,Average,56,2,47,39,96.55295154436001,3,3.7921190623563437,7.761928474020392,13.115805559542142,0,1.634558583339083,9.728285402587183,3,0
65,29,Male,Other,Medium,High School,0,1.78,Above Average,82,1,52,15,81.1719066847056,5,4.656186948379622,5.552250059226671,8.981026692435963,2,3.4292960939818338,4.072011407480964,4,0
66,25,Male,Asian,Medium,High School,0,3.11,Below Average,54,1,96,37,67.18236542226992,1,4.666207513388469,11.407524006976473,10.346819871154585,0,5.620641000588574,8.168982607911882,2,0
67,20,Female,White,Medium,High School,0,3.59,Below Average,98,4,23,15,57.70081626871831,6,2.5700564347427726,5.010168717716694,10.322506763233783,0,5.926639501334947,8.663777247587443,4,0
68,18,Female,Asian,Low,Bachelor’s,0,2.94,Below Average,77,1,15,13,63.25781148526575,7,8.502109816019876,6.224107186566159,10.57180480260398,0,4.8620706489663,6.608559187282535,0,0
69,21,Male,White,Low,High School,0,3.12,Average,57,4,98,18,62.770521042592165,0,3.555435062567456,17.00079709986387,4.815201658929505,2,7.387758812075146,4.128326940067867,2,0
70,19,Female,Other,Medium,High School,0,2.65,Below Average,64,2,32,13,80.67639420817865,3,2.2958730889251635,12.063776468090374,8.634920944075684,0,7.372487887567366,6.571797087464209,1,0
71,25,Female,Asian,High,High School,0,2.82,Below Average,53,1,69,7,97.25187326818022,3,1.7580988341059023,2.9136505465873674,8.912033759606931,2,4.2762747168738855,6.260040138803615,3,0
72,21,Male,Hispanic,Low,High School,0,1.59,Above Average,83,0,116,33,52.41359434789907,4,3.225783945033356,14.52943086991663,4.726074400698479,2,1.2444081076094426,6.458729552168418,3,0
73,19,Female,White,Low,PhD,0,3.1,Below Average,54,4,21,23,50.0511149797224,3,0.6755288297753437,4.149184029597568,5.2477855155549555,0,5.301747697671232,6.573341924089493,2,0
74,23,Female,Hispanic,High,Bachelor’s,1,1.7,Above Average,82,1,22,36,80.00909721571628,8,0.3290752298097166,8.660098602249601,11.433701475250722,0,3.814690639938326,8.623523717845256,1,0
75,23,Female,Asian,Low,PhD,0,2.59,Average,54,2,109,11,64.20302310398576,6,6.051421968028677,12.932144736785867,8.740857609258738,0,1.3792298976370332,2.5307336194059733,0,0
76,27,Female,Hispanic,High,Bachelor’s,0,2.23,Above Average,87,2,112,32,94.02741711694784,1,6.1914713604919,5.438590749149745,2.238167219447529,2,9.818172099648393,4.3056455285365125,3,0
77,21,Male,Hispanic,Medium,High School,0,2.86,Average,83,0,107,22,66.36251539529084,0,5.2958820263828965,7.682136293515844,12.564554830243084,2,3.697553892801022,6.274015546156403,2,0
78,23,Female,Asian,High,Bachelor’s,0,1.83,Above Average,75,2,15,9,64.48688002644447,8,7.6228519523172436,14.682991946083018,13.246714306114796,0,6.257978396212309,3.5499496475046377,3,0
79,19,Male,Other,Low,High School,0,3.23,Above Average,50,2,72,27,63.47553106091486,0,0.3915054427707798,18.758219068486866,6.992117219367212,0,4.901288613365966,9.803378098756353,1,0
80,27,Male,Hispanic,Low,High School,0,3.49,Below Average,53,1,47,26,57.242641363412204,5,9.359731082094676,10.58490113918946,3.1336114803439044,1,1.428282792167661,3.368352336420963,0,0
81,29,Female,Hispanic,Medium,High School,0,1.91,Below Average,88,4,59,30,79.07652371385552,1,0.9506512325706051,0.19941943113245486,14.21409743107358,0,0.5554362337257057,5.226659925781287,1,0
82,19,Male,Other,High,High School,0,1.76,Below Average,75,3,61,16,58.4106801167105,3,6.740229943935936,6.76927502483661,13.234043467793644,1,6.25769415081959,8.896285411417615,4,0
83,27,Male,Hispanic,Medium,High School,0,1.86,Average,82,2,49,23,71.23155798951454,5,1.333965889408093,7.972686696910689,3.6657261951275775,1,2.4702187034788556,1.7205729639420362,1,0
84,21,Female,Hispanic,Low,High School,0,3.69,Above Average,82,2,17,5,73.04860261278245,4,8.799054333077924,6.7834724000448805,1.433906044540461,2,2.4365399961371503,8.386192018848266,1,0
85,25,Male,Hispanic,Medium,Bachelor’s,0,2.82,Average,57,3,70,7,51.02460234389872,5,5.107132869450313,8.725377222311256,6.609804113236601,2,9.569761897103106,6.13907532077203,3,0
86,24,Male,Black,Medium,High School,0,2.67,Average,69,2,17,31,50.840363991057124,2,0.8229354101797604,12.653325076367993,10.145954797406095,1,4.6177330431129135,1.2862183673770338,1,0
87,29,Female,Other,Medium,High School,0,1.77,Below Average,65,1,113,22,76.01063443784146,4,6.167241127000736,2.422560539955063,2.630828778299161,1,0.2942606650068924,9.126216027700922,2,0
88,26,Female,Hispanic,Medium,Master’s,0,3.12,Above Average,70,1,106,34,84.80173661145662,1,0.09109943882201654,5.45261017735011,7.698189876476221,0,3.398427151498068,1.3527715191016874,3,0
89,25,Male,Other,High,High School,0,3.67,Above Average,94,3,43,6,97.10712411402022,6,7.760221784402446,10.152961720352492,6.3812324140877505,1,5.844915422522266,5.636960166441636,3,0
90,22,Female,White,Medium,High School,0,3.57,Below Average,75,2,117,9,58.95596420784776,2,6.505849866461234,6.311466163599501,13.358267231541983,0,3.285674185171208,1.44128121729113,4,0
91,19,Female,White,Low,Master’s,0,3.07,Average,72,2,88,33,55.16294047180413,0,2.1262474936350726,19.821706762707187,6.443499492106929,2,0.2685195403414231,1.6408008862704833,2,0
92,22,Female,Hispanic,Medium,High School,0,1.69,Below Average,67,4,109,37,52.60439534635755,7,3.747509161760937,8.628629340749765,8.006645906025565,0,4.443112654667354,8.984838828321028,1,0
93,25,Female,Other,Low,High School,0,1.78,Average,80,2,69,24,71.80207914564751,7,0.07806694488890265,17.395983071844327,14.329292940027335,2,1.0590633617477785,7.892429922661992,4,0
94,27,Other,Other,Medium,Bachelor’s,0,1.62,Average,91,1,66,34,81.15736836679784,2,6.936838149712051,17.93019671227729,4.495376488118469,1,6.1916002466270434,2.7724705592040233,2,0
95,26,Female,Other,Medium,High School,0,2.14,Below Average,61,0,108,9,92.0276678375632,6,3.2266813750971926,16.720139994447,4.33486397912912,1,6.19587100222688,6.5842117589282845,4,0
96,29,Female,Black,Low,Bachelor’s,0,1.84,Average,50,0,55,25,84.13224411465657,8,5.715889152967192,0.9379648189033563,11.993926199130641,1,0.37759139598400715,8.15211611588094,0,0
97,29,Female,White,Medium,Master’s,1,2.15,Average,91,0,31,19,60.418039453742864,7,9.567276279144629,18.95493463226703,4.1630847921595295,0,2.9066626159937723,9.006315772301782,1,0
98,29,Male,Other,Low,High School,0,2.46,Average,58,0,96,24,73.08851831981394,2,2.99466712947585,2.5748512426635384,12.477988051098075,2,4.136862637390038,5.2147623415523165,4,0
99,26,Male,Other,High,Bachelor’s,0,3.86,Average,52,2,49,12,95.51731731543276,1,9.902378840873183,0.6880725542858901,1.4330341404246743,2,5.50264097859178,9.077498896610837,0,0
100,18,Female,Black,High,Bachelor’s,0,3.03,Below Average,75,2,54,35,66.33705312386856,9,6.3272838600756645,8.287392158131151,1.6689187096420262,2,2.960634297081951,5.570650654458054,1,0
101,26,Female,Black,Low,High School,0,3.59,Average,58,4,64,16,74.93651825459658,6,2.4208866628550494,3.8926806551571214,13.519850612441576,2,2.8774651255139814,7.19405237959922,4,0
102,24,Female,Other,High,Bachelor’s,0,3.28,Average,91,2,60,25,97.92826673218484,6,4.367778830212577,3.6839305932647237,8.11218423723653,2,9.830151562502593,9.811264234826252,4,0
103,26,Male,Asian,Medium,High School,0,1.78,Average,65,0,95,34,86.73540027868489,8,7.404531223835898,5.756392267523012,10.782214000413582,0,0.41862795720899904,3.1235661027507406,4,0
104,25,Female,Other,Low,Bachelor’s,0,3.34,Below Average,73,3,14,31,87.3870192820846,4,4.464779076830813,4.968112104937097,3.3793333779381647,2,9.890454140911519,2.516691484742303,4,0
105,18,Male,Other,Low,High School,1,2.19,Average,99,3,104,30,62.61670022066138,3,0.6850756734155239,13.695908043003062,2.4941155257316243,1,0.4775194107839653,4.078169424800832,3,0
106,29,Male,Black,Medium,Bachelor’s,1,3.1,Above Average,63,1,22,37,70.7349059152564,7,1.6860366138254235,3.7355461327214012,12.524313933489601,2,2.8834142779468586,2.4795912044827846,4,0
107,25,Female,Black,Medium,High School,0,2.35,Below Average,52,1,37,30,54.11710815483609,3,7.912977457839455,10.86236610394517,5.379351105348732,1,4.9369085496935,3.5574652513438676,3,0
108,25,Female,Other,Medium,Master’s,0,3.99,Average,83,2,93,30,80.32629335252668,3,6.483730757180614,19.728530922870597,6.825489286829916,0,1.432983430143252,7.686867910335436,3,0
109,28,Female,Other,Low,High School,0,2.16,Below Average,82,3,106,5,55.186508227124705,1,5.698254773321337,8.647648419125778,0.4195784591303847,0,1.3484636251872384,5.297716323291585,0,0
110,20,Female,Other,Low,Bachelor’s,0,2.2,Average,99,0,89,19,91.79547911029775,0,1.676219707554013,12.83746217590873,5.788211012894497,1,2.5631271326094582,4.375371650454117,1,0
111,18,Male,Black,Medium,Bachelor’s,0,3.83,Below Average,73,0,71,5,90.72768935099984,3,8.377574453503394,19.38743355459747,11.556567121874677,2,9.735071835735695,4.318516047482138,3,0
112,25,Female,Other,Low,Bachelor’s,0,1.56,Average,58,0,102,15,76.68025505611547,6,9.607401095862501,2.752779960827285,12.31912765929254,0,3.8011685887456412,2.750769774100479,2,0
113,20,Male,Other,Low,Bachelor’s,0,3.24,Average,62,2,96,6,57.05830165985149,8,0.40887097490669544,8.372140185860989,10.481321833238127,0,5.659948382691918,5.026703088582957,3,0
114,20,Female,Hispanic,Low,Bachelor’s,0,3.31,Average,51,2,33,5,51.278949159758405,8,0.7803187065385531,17.003848003905084,10.382696003156132,0,7.042914023816463,6.621720028193586,2,0
115,18,Female,Asian,High,Bachelor’s,0,3.59,Average,56,4,107,35,89.83543337712862,9,8.847245033145647,18.646113654897597,7.593588998957369,2,7.422218355242104,2.252393510664014,0,0
116,28,Female,White,High,Master’s,0,3.94,Average,97,0,16,20,80.00702416067134,0,8.155522540321282,12.024721159178103,8.074939938897344,1,6.880409663453548,9.755315753231931,2,0
117,22,Female,Asian,Medium,High School,0,3.94,Average,70,0,47,26,85.54648183739417,4,6.1793445551129365,2.8684120508044675,11.139476202197152,1,3.3692819319172482,4.989530587840602,0,0
118,27,Female,Hispanic,High,Bachelor’s,0,1.66,Below Average,68,2,46,22,65.19035628681839,6,9.44965208986138,18.029431678953102,3.7095269824158428,2,1.1172782735606246,9.531648250762553,0,0
119,24,Female,White,Medium,Master’s,0,3.55,Below Average,74,2,77,21,75.47413689219573,6,6.464305779920032,3.4889313238188513,3.47275602369084,0,2.8171647533321087,2.211930339617667,0,0
120,27,Male,Other,Medium,PhD,0,3.12,Above Average,96,4,107,34,87.35870852698253,9,2.1598527572950332,7.057556966642371,14.24887235871082,2,2.1029522676950663,7.904943578554122,2,0
121,26,Male,Hispanic,Low,Master’s,0,3.12,Below Average,71,4,51,14,73.12816541568998,5,7.286423237169002,7.5101595552452345,0.4153483013816306,2,1.3627730486931677,6.558742454891904,2,0
122,29,Male,Other,Medium,High School,0,1.82,Average,60,1,95,39,80.06921113843654,9,6.457103447456372,8.945830797452562,2.091981954977723,1,0.24496731751618706,8.380577075890336,0,0
123,24,Male,Black,High,High School,0,3.13,Above Average,82,3,14,25,89.48641309039812,3,9.857447020100293,15.803316318618991,8.554986393018721,2,9.357258490584142,6.406101306596846,0,0
124,26,Female,Hispanic,Medium,Bachelor’s,0,3.96,Below Average,81,0,73,20,60.76103226331894,2,2.1389573637479176,16.042887562049692,11.067522580475227,2,9.210343865453382,9.665529699185255,1,0
125,25,Female,Black,Medium,Bachelor’s,1,3.78,Average,70,0,59,10,53.29644446787412,8,5.97884936362599,14.393101465562284,8.068366244775177,0,0.5041700563016926,6.642386478368718,0,0
126,29,Male,Hispanic,Medium,Bachelor’s,0,2.6,Average,88,4,115,7,76.59117554054026,9,7.801675222251225,0.44257348843163236,5.325959942473262,0,1.730845728204018,8.061437128100213,4,0
127,19,Male,Hispanic,Low,Bachelor’s,1,1.6,Above Average,69,4,96,25,53.10628853600478,3,3.389830893381708,11.296902044343032,14.669641790294513,1,1.3950047146279365,8.898235952800306,1,0
128,18,Male,Black,High,Master’s,0,2.41,Above Average,57,1,24,17,88.32786471833766,7,3.7967958309823766,14.949859117628,10.557790276992687,0,2.8122293442151736,7.431251240894141,1,0
129,24,Female,White,Medium,High School,0,3.57,Average,91,3,104,22,85.96057238168943,0,8.879018383283206,8.892504801230857,12.470862616006185,2,2.040688704787411,5.718129909068443,1,0
130,24,Female,Asian,Medium,Master’s,0,3.25,Below Average,86,1,82,28,94.08563357326486,6,4.041948796088813,18.89872090730793,0.6037031128230608,2,9.45853537397855,3.455353708870783,4,0
131,25,Male,Other,Medium,Bachelor’s,0,2.65,Average,58,3,116,31,81.97810490169803,5,6.247328518956144,16.47621043760702,3.5388016571007554,2,0.8417043656020384,8.690433520561022,1,0
132,22,Female,Hispanic,Medium,High School,1,1.64,Average,74,0,62,8,53.35987853761869,0,8.892381375268256,12.763101309736616,5.612566403873701,1,2.1167082700450326,5.325204274198105,1,0
133,20,Female,Other,Low,Bachelor’s,0,2.57,Average,74,1,34,26,62.65760627448087,3,2.0982658309056132,1.2485036736502675,2.7390209712341704,0,0.8072330458291443,6.586374037015531,2,0
134,29,Male,Black,Medium,Bachelor’s,0,2.67,Below Average,82,4,98,28,90.39659222813597,4,9.818772963526058,13.046924951662763,1.093489090637208,2,9.803853486444364,1.7130388409282784,2,0
135,25,Female,Other,Low,High School,0,3.82,Below Average,51,1,94,14,58.35662086567939,7,7.019535339703258,18.231592025044378,3.3763749689202034,0,9.18413509097005,5.476161908141648,0,0
136,23,Female,Black,Medium,High School,0,3.1,Average,68,1,18,6,84.92402339074437,3,4.961216941414448,7.588907737619028,8.004534468555638,0,7.16631589765411,7.283418796178605,0,0
137,28,Male,Other,High,PhD,0,2.28,Average,95,0,47,10,89.0129665460239,2,4.309205643509976,16.76265051210722,10.43617872535058,0,4.259730322199133,6.25664718940393,3,0
138,20,Male,Asian,High,High School,0,2.81,Average,69,4,31,22,66.50558989276206,1,9.543646155515045,6.26322285724358,11.610313844476215,0,1.9017813552399254,5.036993704411345,4,0
139,18,Male,Asian,Medium,Bachelor’s,0,1.67,Average,91,4,116,21,66.11487367014543,3,2.0572482752966637,11.402065830946055,0.644042323015756,1,2.214897250201424,3.010845850747023,2,1
140,20,Male,Asian,Medium,Bachelor’s,0,3.93,Above Average,90,2,96,27,77.89013406045734,9,3.116832568459613,12.968488367415647,6.419792583188867,1,4.430400085560114,3.787031800811436,0,0
141,22,Female,Asian,Low,Bachelor’s,0,2.4,Average,91,2,58,34,93.06431663773819,3,3.0779275554792473,13.559900751177898,1.83317375378051,1,7.682226713364816,7.30561922346071,4,0
142,20,Female,Asian,Medium,Bachelor’s,0,2.69,Below Average,78,2,77,25,61.19531009567403,9,2.8900633473446344,17.650986289286962,6.468005796670077,2,2.6472949599895887,3.01771628955459,1,0
143,18,Male,Asian,Low,High School,0,2.39,Below Average,55,0,102,14,97.06290980212013,4,4.685380452156892,4.692445340125642,6.509637736804426,2,3.1079191253464664,6.595539537779937,4,0
